#	SYM	#
#1	NUM	#1
#2	SYM	#2
#aivot	NOUN	#aivot
#aivoviikko	NOUN	#aivo#viikko
#alkoholilaki	NOUN	#alkoholi#laki
#amistenpuolella	X	#amistenpuolella
#ammatillinenkoulutus	NOUN	#ammatillinen#koulutus
#blogit	NOUN	#blogi
#cmoref1	X	#cmoref1
#dog	X	#dog
#esimerkki	NOUN	#esimerkki
#esimiestyö	NOUN	#esi#mies#työ
#eslonecologne	X	#ESLOneCologne
#eurojatalous	X	#eurojatalous
#finanssiala	NOUN	#finanssi#ala
#finland100	X	#finland100
#finnishlapphund	X	#finnishlapphund
#forest	X	#forest
#hashtag	X	#hashtag
#hctps:n	PROPN	#HCTPS
#helsinki	PROPN	#Helsinki
#hyvinvointi	NOUN	#hyvin#vointi
#intiaanipäähinegate:n	NOUN	#intiaani#päähine#gate
#itsensäjohtaminen	X	#itsensäjohtaminen
#johtaminen	NOUN	#johtaminen
#jännä	ADJ	#jännä
#kansijaareena	X	#kansijaareena
#kiitollisuuskalenteri	NOUN	#kiitollisuus#kalenteri
#koira	NOUN	#koira
#kookoo	PROPN	#KooKoo
#kopla	PROPN	#Kopla
#kott2016	X	#kott2016
#koulu17	X	#koulu17
#koulutus	NOUN	#koulutus
#kuluttaminen	NOUN	#kuluttaminen
#kuopio	PROPN	#Kuopio
#kups	PROPN	#KuPS
#kuvakulma	NOUN	#kuva#kulma
#liiga	PROPN	#Liiga
#luonto	NOUN	#luonto
#luontokuva	NOUN	#luonto#kuva
#luontopolku	NOUN	#luonto#polku
#luontotwiitti	NOUN	#luonto#twiitti
#maksuliiketilastot	NOUN	#maksu#liike#tilasto
#media	NOUN	#media
#mekaanikko'ja	NOUN	mekaanikko
#metsä	NOUN	#metsä
#nature	X	#nature
#nevöföget	X	#nevöföget
#nuoret	NOUN	#nuori
#oikea	ADJ	#oikea
#oscarit	PROPN	#Oscar
#ostatyötäsuomeen	X	#ostatyötäsuomeen
#ostokset	NOUN	#ostos
#palaute	NOUN	#palaute
#palokunta	NOUN	#palo#kunta
#passion	X	#passion
#peliaddiktio	NOUN	#peli#addiktio
#peliriippuvuus	NOUN	#peli#riippuvuus
#pesis	NOUN	#pesis
#photography	X	#photography
#pielavesi	PROPN	#Pielavesi
#pitkospuut	NOUN	#pitkos#puut
#porraspäivät	NOUN	#porras#päivät
#pyöräily	NOUN	#pyöräily
#raskausaika	NOUN	#raskaus#aika
#rekry	NOUN	#rekry
#rekrykoulutus-hakuaikaa	NOUN	#RekryKoulutus#haku#aika
#ruokatauolla	NOUN	#ruoka#tauko
#sairaus	NOUN	#sairaus
#salibandy	NOUN	#sali#bandy
#sikiö	NOUN	#sikiö
#sorisiitä	X	#sorisiitä
#srvrakentaa	X	#SRVrakentaa
#stressi	NOUN	#stressi
#suomenlapinkoira	NOUN	#suomen#lapin#koira
#suomi100	PROPN	#suomi100
#suomiareena	PROPN	#suomi#areena
#susijengi	PROPN	#Susijengi
#tautiluokitus	NOUN	#tauti#luokitus
#testiin	NOUN	#testi
#tietovuoto	NOUN	#tieto#vuoto
#tutkimus	NOUN	#tutkimus
#tvof	PROPN	#tvof
#työ	NOUN	#työ
#työilmapiiri	NOUN	#työ#ilma#piiri
#työpaikat	NOUN	#työ#paikka
#unelmaduuni	NOUN	#unelma#duuni
#uusivaihtoehto	X	#uusivaihtoehto
#uutisvahti	NOUN	#uutis#vahti
#uv	NOUN	#uv
#vakuutus	NOUN	#vakuutus
#varusmiestenkuntotesti	X	#varusmiestenkuntotesti
#vastuu	NOUN	#vastuu
#viestikoelaitos	NOUN	#viesti#koe#laitos
#vpk	PROPN	#vpk
#who	PROPN	#WHO
#yrityskulttuuri	NOUN	#yritys#kulttuuri
%:	NOUN	%
%:een	NOUN	%
%:iin	NOUN	%
%:lla	NOUN	%
%:lla	SYM	%
%:n	NOUN	%
%:n	SYM	%
%:sta	NOUN	%
muurarilla	NOUN	muurari
muurilta	NOUN	muuri
muurin	NOUN	muuri
muusaa	NOUN	muusa
muusikoiden	NOUN	muusikko
muusikon	NOUN	muusikko
muusikot	NOUN	muusikko
muusinuijalla	NOUN	muusi#nuija
muussa	PRON	muu
muussakin	PRON	muu
muusta	PRON	muu
muustakaan	PRON	muu
muustakin	PRON	muu
muut	PRON	muu
muuta	PRON	muu
muutakaan	PRON	muu
muutaki	PRON	muu
muutakin	PRON	muu
muutamaa	PRON	muutama
muutamaankin	PRON	muutama
muutamaksi	PRON	muutama
muutamalla	ADJ	muutama
muutamalle	PRON	muutama
muutaman	PRON	muutama
muutamana	PRON	muutama
muutamassa	PRON	muutama
muutamat	PRON	muutama
muutamia	PRON	muutama
muutamien	PRON	muutama
muutamilla	PRON	muutama
muutamissa	PRON	muutama
muutamista	PRON	muutama
muutan	VERB	muuttaa
muuteltu	VERB	muutella
muutenkaan	ADV	muuten
muutenki	ADV	muuten
muutenkin	ADV	muuten
muuteta	VERB	muuttaa
muutetaan	VERB	muuttaa
muutettaisiin	VERB	muuttaa
muutettava	VERB	muuttaa
muutettavaksi	VERB	muuttaa
muutettiin	VERB	muuttaa
muutettu	VERB	muuttaa
muutettuina	VERB	muuttaa
muutettuna	VERB	muuttaa
muutetun	VERB	muuttaa
muutin	VERB	muuttaa
muutkin	PRON	muu
muutoinkin	ADV	muutoin
muutokseen	NOUN	muutos
muutokselle	NOUN	muutos
muutoksen	NOUN	muutos
muutoksenalainen	ADJ	muutos#alainen
muutoksenhakuoikeus	NOUN	muutos#haku#oikeus
muutoksenhaun	NOUN	muutoksen#haku
muutoksessa	NOUN	muutos
muutoksesta	NOUN	muutos
muutokset	NOUN	muutos
muutoksia	NOUN	muutos
muutoksiin	NOUN	muutos
muutoksilla	NOUN	muutos
muutoksille	NOUN	muutos
muutoksin	NOUN	muutos
muutoksista	NOUN	muutos
muuton	NOUN	muutto
muutosesitykseen	NOUN	muutos#esitys
muutosesityksistä	NOUN	muutos#esitys
muutosesitystä	NOUN	muutos#esitys
muutosjohtajia	NOUN	muutos#johtaja
muutosta	NOUN	muutos
muutosten	NOUN	muutos
muutostilassa	NOUN	muutos#tila
muutostöitä	NOUN	muutos#työ
muutosvoimana	NOUN	muutos#voima
muuttaakseen	VERB	muuttaa
muuttaen	VERB	muuttaa
muuttaessani	VERB	muuttaa
muuttaisi	VERB	muuttaa
muuttaisin	VERB	muuttaa
muuttamaan	VERB	muuttaa
muuttamalla	VERB	muuttaa
muuttamassa	VERB	muuttaa
muuttamiseen	NOUN	muuttaminen
muuttamiseksi	NOUN	muuttaminen
muuttamisella	NOUN	muuttaminen
muuttamisessa	NOUN	muuttaminen
muuttamisesta	NOUN	muuttaminen
muuttanut	VERB	muuttaa
muuttavansa	VERB	muuttaa
muuttavat	VERB	muuttaa
muutti	VERB	muuttaa
muuttivat	VERB	muuttaa
muuttolaatikot	NOUN	muutto#laatikko
muuttoliikeiden	NOUN	muutto#liike
muuttoliikeilmiöiden	NOUN	muutto#liike#ilmiö
muuttoliikettä	NOUN	muutto#liike
muuttoliikkeen	NOUN	muutto#liike
muuttoliikkeeseen	NOUN	muutto#liike
muuttoliikkeiden	NOUN	muutto#liike
muuttoliikkeitä	NOUN	muutto#liike
muuttolinnuilla	NOUN	muutto#lintu
muuttolintuja	NOUN	muutto#lintu
muuttovirtojen	NOUN	muutto#virta
muuttui	VERB	muuttua
muuttuivat	VERB	muuttua
muuttujat	NOUN	muuttuja
muuttujia	NOUN	muuttuja
muuttujien	NOUN	muuttuja
muuttumassa	VERB	muuttua
muuttumattomana	ADJ	muuttumaton
muuttumattomina	ADJ	muuttumaton
muuttuneeseen	VERB	muuttua
muuttuneet	VERB	muuttua
muuttuneista	VERB	muuttua
muuttunut	VERB	muuttua
muuttuu	VERB	muuttua
muuttuvan	VERB	muuttua
muuttuvani	VERB	muuttua
muuttuvansa	VERB	muuttua
muuttuvat	ADJ	muuttuva
muuttuvat	VERB	muuttua
muuttuvien	VERB	muuttua
muutu	VERB	muuttua
muutuin	VERB	muuttua
muutun	VERB	muuttua
muututtua	VERB	muuttua
muzion	PROPN	Muzio
mwc-paperi	NOUN	MWC#paperi
myanmarin	PROPN	Myanmar
myhäilee	VERB	myhäillä
myi	VERB	myydä
myin	VERB	myydä
myivät	VERB	myydä
mykeneläisen	ADJ	mykeneläinen
mykistykseksi	NOUN	mykistys
mykkyrässä	NOUN	mykkyrä
mykkäelokuvan	NOUN	mykkä#elo#kuva
mykkäkouluna	NOUN	mykkä#koulu
mykotoksiinin	PROPN	mykotoksiini
mylleriä	PROPN	Myller
myllertämään	VERB	myllertää
myllyjokeen	PROPN	Myllyjoki
myllykosken	PROPN	Myllykoski
myllyyn	NOUN	mylly
myllyä	NOUN	mylly
mynämäen	PROPN	Mynämäki
myrkkyjä	NOUN	myrkky
myrkkyä	NOUN	myrkky
myrkyllisen	ADJ	myrkyllinen
myrkyllisestä	ADJ	myrkyllinen
myrkyllisiä	ADJ	myrkyllinen
myrkyt	NOUN	myrkky
myrkytykseen	NOUN	myrkytys
myrkytystilasta	NOUN	myrkytys#tila
myrkytysvaikutuksia	NOUN	myrkytys#vaikutus
myrskyn	NOUN	myrsky
myrskyyn	NOUN	myrsky
myrskyä	NOUN	myrsky
myrskyää	VERB	myrskytä
myskintuoksua	NOUN	myskin#tuoksu
myskintuoksuiseen	ADJ	myskin#tuoksuinen
myskiä	NOUN	myski
mysql-tietokannassa	NOUN	MySQL#tieto#kanta
myssyt	NOUN	myssy
mystifioinut	VERB	mystifioida
mystiseen	ADJ	mystinen
mytkeet	NOUN	mytke
mytologian	NOUN	mytologia
mytologiassa	NOUN	mytologia
myy	VERB	myydä
myydyimmistään	ADJ	myyty
myydyin	ADJ	myyty
myydyksi	ADJ	myyty
myydään	VERB	myydä
myyjien	NOUN	myyjä
myyjälle	NOUN	myyjä
myyjästä	NOUN	myyjä
myyjät	NOUN	myyjä
myymiseksi	NOUN	myyminen
myymistä	NOUN	myyminen
myymäläautoa	NOUN	myymälä#auto
myymäläautoissa	NOUN	myymälä#auto
myymäläautoja	NOUN	myymälä#auto
myymäläautojen	NOUN	myymälä#auto
myymäläauton	NOUN	myymälä#auto
myymäläkopioita	NOUN	myymälä#kopio
myymälää	NOUN	myymälä
myymälöiden	NOUN	myymälä
myymälöissä	NOUN	myymälä
myymälöitä	NOUN	myymälä
myymästä	VERB	myydä
myymään	VERB	myydä
myyneet	VERB	myydä
myynnin	NOUN	myynti
myynnissä	NOUN	myynti
myynnistä	NOUN	myynti
myynti-	NOUN	myynti
myyntiajan	NOUN	myynti#aika
myyntihetkellä	NOUN	myynti#hetki
myyntihinnan	NOUN	myynti#hinta
myyntihinnoilla	NOUN	myynti#hinta
myyntihinnoista	NOUN	myynti#hinta
myyntiin	NOUN	myynti
myyntikustannusten	NOUN	myynti#kustannus
myyntilupatoimintojen	NOUN	myynti#lupa#toiminto
myyntinsä	NOUN	myynti
myyntipisteissä	NOUN	myynti#piste
myyntisuosituksen	NOUN	myynti#suositus
myyntivirkailijan	NOUN	myynti#virkailija
myyntivoitot	NOUN	myynti#voitto
myyntiä	NOUN	myynti
myynyt	VERB	myydä
myyrät	NOUN	myyrä
myyt	VERB	myydä
myytiin	VERB	myydä
myytiinkö	VERB	myydä
myytissä	NOUN	myytti
myyttisen	ADJ	myyttinen
myyttiset	ADJ	myyttinen
myyttistä	ADJ	myyttinen
myyty	VERB	myydä
myytyjen	ADJ	myyty
myytyjen	VERB	myydä
myytyyn	VERB	myydä
myytyä	VERB	myydä
myytäviksi	VERB	myydä
myytäviä	VERB	myydä
myytävä	VERB	myydä
myytäväksi	VERB	myydä
myytävänä	VERB	myydä
myyvien	VERB	myydä
myyviä	VERB	myydä
myyvänsä	VERB	myydä
myyvät	VERB	myydä
myö	ADV	myös
myöh.	ADV	myöhemmin
myöhemmistä	ADJ	myöhä
myöhemmän	ADJ	myöhä
myöhemmässä	ADJ	myöhä
myöhemmät	ADJ	myöhä
myöhempinä	ADJ	myöhä
myöhempään	ADJ	myöhä
myöhäisellä	ADJ	myöhäinen
myöhäisestä	ADJ	myöhäinen
myöhäisillan	NOUN	myöhäis#ilta
myöhäistä	ADJ	myöhäinen
myöhäsintää	ADV	myöhäisintään
myöhästelee	VERB	myöhästellä
myöhästyivät	VERB	myöhästyä
myöhästymiseni	NOUN	myöhästyminen
myöhästymisestä	NOUN	myöhästyminen
myöhästymiset	NOUN	myöhästyminen
myöhästymistäni	NOUN	myöhästyminen
myöhästynyt	VERB	myöhästyä
myönnettiin	VERB	myöntää
myönnetty	VERB	myöntää
myönnettyjen	VERB	myöntää
myönnettävä	VERB	myöntää
myönnetyiltä	VERB	myöntää
myönnetyn	VERB	myöntää
myönnetystä	VERB	myöntää
myönnetyt	VERB	myöntää
myönnetä	VERB	myöntää
myönnetääan	VERB	myöntää
myönnetään	VERB	myöntää
myönnytyksen	NOUN	myönnytys
myönnytyksiä	NOUN	myönnytys
myönsi	VERB	myöntää
myönsivät	VERB	myöntää
myönteisellä	ADJ	myönteinen
myönteisemmin	ADV	myönteisesti
myönteisen	ADJ	myönteinen
myönteisenä	ADJ	myönteinen
myönteiset	ADJ	myönteinen
myönteisistä	ADJ	myönteinen
myönteisiä	ADJ	myönteinen
myönteisten	ADJ	myönteinen
myönteistä	ADJ	myönteinen
myöntyivät	VERB	myöntyä
myöntämiselle	NOUN	myöntäminen
myöntämisen	NOUN	myöntäminen
myöntämisessä	NOUN	myöntäminen
myöntämisestä	NOUN	myöntäminen
myöntämä	VERB	myöntää
myöntämällä	VERB	myöntää
myöntämän	VERB	myöntää
myöntämään	VERB	myöntää
myöntäneen	VERB	myöntää
myöntänyt	VERB	myöntää
myöntävien	VERB	myöntää
myöntävillä	VERB	myöntää
myöntävä	VERB	myöntää
myöntävällä	VERB	myöntää
myöntävät	VERB	myöntää
myötäilevää	VERB	myötäillä
myötätuntoa	NOUN	myötä#tunto
myötätuntoisempi	ADJ	myötätuntoinen
mä	PRON	minä
mäelle	NOUN	mäki
mäen	NOUN	mäki
mäen	PROPN	Mäki
mäenlaskukilpailun	NOUN	mäen#lasku#kilpailu
mäennyppylälle	NOUN	mäen#nyppylä
mäenpäällä	PROPN	mäenpää
mäessä	NOUN	mäki
mäkelän	PROPN	Mäkelä
mäkelää	PROPN	Mäkelä
mäkiselle	PROPN	Mäkinen
mäkisellä	PROPN	Mäkinen
mäkisen	PROPN	Mäkinen
mäkiä	NOUN	mäki
mäkätyksenä	NOUN	mäkätys
mäkään	PRON	minä
männy	VERB	mennä
männyn	NOUN	mänty
männynjuuren	PROPN	Männynjuuri
mänty-	NOUN	mänty
mäntylajikkeita	NOUN	mänty#lajike
mäntyvaaran	PROPN	Mäntyvaara
mäntyä	NOUN	mänty
märillä	ADJ	märkä
märkinä	ADJ	märkä
märkiä	ADJ	märkä
märkäajon	NOUN	märkä#ajo
märkänä	ADJ	märkä
märkää	ADJ	märkä
märäksi	ADJ	märkä
märällä	ADJ	märkä
märät	ADJ	märkä
mätin	VERB	mättää
mättänen	PROPN	Määttänen
mätäne	VERB	mädätä
mää	PRON	minä
määrien	NOUN	määrä
määrin	NOUN	määrä
määrin	PROPN	Määri
määristä	NOUN	määrä
määritellyistä	VERB	määritellä
määritellylle	VERB	määritellä
määritellyn	VERB	määritellä
määritellyt	VERB	määritellä
määritellään	VERB	määritellä
määritelmien	NOUN	määritelmä
määritelmiin	NOUN	määritelmä
määritelmiä	NOUN	määritelmä
määritelmän	NOUN	määritelmä
määritelmässä	NOUN	määritelmä
määritelmästä	NOUN	määritelmä
määritelmät	NOUN	määritelmä
määriteltiin	VERB	määritellä
määritelty	VERB	määritellä
määriteltäessä	VERB	määritellä
määriteltävä	VERB	määritellä
määriteltäväksi	VERB	määritellä
määritetty	VERB	määrittää
määritettäessä	VERB	määrittää
määritettävä	VERB	määrittää
määritetään	VERB	määrittää
määrittelee	VERB	määritellä
määrittelemiinsä	VERB	määritellä
määrittelemisessä	NOUN	määritteleminen
määrittelemällä	VERB	määritellä
määrittelemää	VERB	määritellä
määrittelen	VERB	määritellä
määrittelevät	VERB	määritellä
määritteli	VERB	määritellä
määrittelyjen	NOUN	määrittely
määrittelyssä	NOUN	määrittely
määrittelyyn	NOUN	määrittely
määritti	VERB	määrittää
määrittäessään	VERB	määrittää
määrittämiseksi	NOUN	määrittäminen
määrittämisessä	NOUN	määrittäminen
määrittämään	VERB	määrittää
määrittäneet	VERB	määrittää
määrittävän	VERB	määrittää
määrittävään	VERB	määrittää
määritykseen	NOUN	määritys
määrityksen	NOUN	määritys
määrityksessä	NOUN	määritys
määrityksiin	NOUN	määritys
määritä	VERB	määrittää
määriä	NOUN	määrä
määräaikaan	NOUN	määrä#aika
määräaikaiseen	ADJ	määrä#aikainen
määräaikaiskertomuksessa	NOUN	määrä#aikais#kertomus
määräaikoja	NOUN	määrä#aika
määräajaksi	NOUN	määrä#aika
määräajan	NOUN	määrä#aika
määräajassa	NOUN	määrä#aika
määräajasta	NOUN	määrä#aika
määräajat	NOUN	määrä#aika
määräenemmistöllä	NOUN	määrä#enemmistö
määräenemmistöpäätöstä	NOUN	määrä#enemmistö#päätös
määräile	VERB	määräillä
määräilee	VERB	määräillä
määräksi	NOUN	määrä
määrällisiä	ADJ	määrällinen
määrällä	NOUN	määrä
määrältään	NOUN	määrä
määrän	NOUN	määrä
määränpäähämme	NOUN	määrän#pää
määräpaikkaan	NOUN	määrä#paikka
määrärahan	NOUN	määrä#raha
määrärahat	NOUN	määrä#raha
määrärahoja	NOUN	määrä#raha
määräsi	VERB	määrätä
määrässä	NOUN	määrä
määrästä	NOUN	määrä
määrät	NOUN	määrä
määrätietoisemmin	ADV	määrä#tietoisesti
määrätietoista	ADJ	määrä#tietoinen
määrätietoisuudesta	NOUN	määrä#tietoisuus
määrättiin	VERB	määrätä
määrätty	VERB	määrätä
määrättyjen	VERB	määrätä
määrättyä	VERB	määrätä
määrättävä	VERB	määrätä
määrättävästä	VERB	määrätä
määrätyissä	VERB	määrätä
määrätyllä	VERB	määrätä
määrätyt	VERB	määrätä
määrätään	VERB	määrätä
määräyksellä	NOUN	määräys
määräyksen	NOUN	määräys
määräyksensä	NOUN	määräys
määräyksestä	NOUN	määräys
määräykset	NOUN	määräys
määräyksiä	NOUN	määräys
määräysten	NOUN	määräys
määräystä	NOUN	määräys
määräytyi	VERB	määräytyä
määräytyvät	VERB	määräytyä
määräytyy	VERB	määräytyä
määrää	NOUN	määrä
määrää	VERB	määrätä
määräämisellä	NOUN	määrääminen
määräämän	VERB	määrätä
määräämässä	VERB	määrätä
määrään	NOUN	määrä
määräävää	ADJ	määräävä
määttäselle	PROPN	Määttänen
määttäsen	PROPN	Määttänen
määttästä	PROPN	Määttänen
mårtenia	PROPN	Mårten
mårtenilla	PROPN	Mårten
mårtenin	PROPN	Mårten
mökille	NOUN	mökki
mökillä	NOUN	mökki
mökillään	NOUN	mökki
mökiltä	NOUN	mökki
mökinranta	NOUN	mökki#ranta
mökkejään	NOUN	mökki
mökki-	NOUN	mökki
mökkimme	NOUN	mökki
mökkiteillä	NOUN	mökki#tie
mönjät	NOUN	mönjä
mönkijää	NOUN	mönkijä
mörköä	NOUN	mörkö
mössöksi	NOUN	mössö
möttölälle	PROPN	Möttölä
möttölällä	PROPN	Möttölä
möyrivät	VERB	möyriä
mööpelin	NOUN	mööpeli
münchenin	PROPN	München
mūsikēn	NOUN	mūsikē
n	AUX	olla
n	X	_
naamaa	NOUN	naama
naamaan	NOUN	naama
naamaani	NOUN	naama
naamaasi	NOUN	naama
naamalleen	NOUN	naama
naamalleni	NOUN	naama
naamalta	NOUN	naama
naaman	NOUN	naama
naamani	NOUN	naama
naamansa	NOUN	naama
naamat	NOUN	naama
naamioidaan	VERB	naamioida
naamioitu	VERB	naamioida
naamioituneesta	VERB	naamioitua
naamioituvat	VERB	naamioitua
naamoja	NOUN	naama
naantalin	PROPN	Naantali
naapureistaan	NOUN	naapuri
naapuriasemasta	NOUN	naapuri#asema
naapuriin	NOUN	naapuri
naapuriinsa	NOUN	naapuri
naapurimaassa	NOUN	naapuri#maa
naapurimaihin	NOUN	naapuri#maa
naapurimaille	NOUN	naapuri#maa
naapurimaissa	NOUN	naapuri#maa
naapurin	NOUN	naapuri
naapurinsa	NOUN	naapuri
naapurirappuun	NOUN	naapuri#rappu
naapurireviiriläiset	NOUN	naapuri#reviiriläinen
naapurissa	NOUN	naapuri
naapurista	NOUN	naapuri
naapurit	NOUN	naapuri
naapuritilalla	NOUN	naapuri#tila
naapuritki	NOUN	naapuri
naapurivaltioon	NOUN	naapuri#valtio
naapuruston	NOUN	naapurusto
naapurustossa	NOUN	naapurusto
naapurustosta	NOUN	naapurusto
naapuruuspolitiikassa	NOUN	naapuruus#politiikka
naapuruuspolitiikkaa	NOUN	naapuruus#politiikka
naaraan	NOUN	naaras
naaraat	NOUN	naaras
naaraiden	NOUN	naaras
naaran	NOUN	naaras
nablameloniyllätyksen	NOUN	nabla#meloni#yllätys
nafon	PROPN	NAFO
naftaa	NOUN	nafta
naganon	PROPN	Nagano
nagasakin	PROPN	Nagasaki
nahan	NOUN	nahka
nahkaa	NOUN	nahka
nahkakauppoja	NOUN	nahka#kauppa
nahkasaappaat	NOUN	nahka#saapas
nahkatakeilla	NOUN	nahka#takki
nahkatakin	NOUN	nahka#takki
nahoissaan	NOUN	nahka
nai	VERB	naida
naiivia	ADJ	naiivi
naiiviin	ADJ	naiivi
naimisiinmenovuodesta	NOUN	naimisiin#meno#vuosi
nainenkin	NOUN	nainen
naiseen	NOUN	nainen
naiseksi	NOUN	nainen
naisella	NOUN	nainen
naiselle	NOUN	nainen
naisellisuutta	NOUN	naisellisuus
naiselta	NOUN	nainen
naisen	NOUN	nainen
naisena	NOUN	nainen
naisesta	NOUN	nainen
naiset	NOUN	nainen
naiseudesta	NOUN	naiseus
naishenkilön	NOUN	nais#henkilö
naishuippuhiihtäjistä	NOUN	nais#huippu#hiihtäjä
naisia	NOUN	nainen
naisiin	NOUN	nainen
naisiksi	NOUN	nainen
naisilla	NOUN	nainen
naisille	NOUN	nainen
naisina	NOUN	nainen
naisissa	NOUN	nainen
naisista	NOUN	nainen
naiskampaamotyöntekijäin	NOUN	nais#kampaamo#työntekijä
naiskaupasta	NOUN	nais#kauppa
naiskirjailijoiden	NOUN	nais#kirjailija
naisopiskelijat	NOUN	nais#opiskelija
naisparit	NOUN	nais#pari
naisparlamentaarikkoja	NOUN	nais#parlamentaarikko
naispatsaaseen	NOUN	nais#patsas
naispresidentin	NOUN	nais#presidentti
naispuolisena	ADJ	nais#puolinen
naispuolisia	ADJ	nais#puolinen
naispuolista	ADJ	nais#puolinen
naisskandaalia	NOUN	nais#skandaali
naista	NOUN	nainen
naistansa	NOUN	nainen
naisten	NOUN	nainen
naistenklinikan	NOUN	nais#klinikka
naistenlehden	NOUN	naisten#lehti
naistenlehteä	NOUN	naisten#lehti
naistenpäivän	NOUN	naisten#päivä
naistenpäivää	NOUN	naisten#päivä
naistutkijoita	NOUN	nais#tutkija
naistutkimukselle	NOUN	nais#tutkimus
naistutkimuksen	NOUN	nais#tutkimus
naistutkimuksesta	NOUN	nais#tutkimus
naisvallan	NOUN	nais#valta
naisvalokuvaajaksi	NOUN	nais#valokuvaaja
naisvoimistelijoita	NOUN	nais#voimistelija
naisystävienne	NOUN	nais#ystävä
nakeista	NOUN	nakki
nakit	NOUN	nakki
nakkaan	VERB	nakata
nakkeja	NOUN	nakki
nakkelivat	VERB	nakella
nakkiin	NOUN	nakki
nakkikojuketjun	NOUN	nakki#koju#ketju
nakkisormetkin	NOUN	nakki#sormi
namusetä-jlon	PROPN	namusetä#JLo
namysłowskin	PROPN	Namysłowski
nanan	PROPN	Nana
nanjingin	PROPN	Nanjing
napansa	NOUN	napa
napanöyhtäänsä	NOUN	napa#nöyhtä
napapaitojen	NOUN	napa#paita
napattu	VERB	napata
napin	NOUN	nappi
napinläpeä	NOUN	napin#läpi
napista	NOUN	nappi
napit	NOUN	nappi
napitettuna	VERB	napittaa
napoleonin	PROPN	Napoleon
napolitanon	PROPN	Napolitano
nappaa	PROPN	Nappa
nappaa	VERB	napata
nappaan	VERB	napata
nappaisi	VERB	napata
nappejakin	NOUN	nappi
nappia	NOUN	nappi
nappien	NOUN	nappi
nappisilmät	NOUN	nappi#silmä
nappulaa	NOUN	nappula
nappulan	NOUN	nappula
napsaistua	VERB	napsaista
napsakkaan	ADJ	napakka
napsauttavat	VERB	napsauttaa
napsii	VERB	napsia
naputellen	VERB	naputella
naputellut	VERB	naputella
narikkajonossa	NOUN	narikka#jono
narikoista	NOUN	narikka
narisee	VERB	narista
narisevasta	ADJ	nariseva
narkkareita	NOUN	narkkari
narkkarit	NOUN	narkkari
narraa	VERB	narrata
narsistin	NOUN	narsisti
narua	NOUN	naru
narujen	NOUN	naru
narun	NOUN	naru
narut	NOUN	naru
nasaretista	PROPN	Nasaret
naseviin	ADJ	naseva
nashvilleen	PROPN	Nashville
nasiriyahissa	PROPN	Nasiriyah
nastolan	PROPN	Nastola
natiivit	ADJ	natiivi
nationalin	PROPN	National
nationalistisista	ADJ	nationalistinen
natisevasta	ADJ	natiseva
nato-jäsenyyden	NOUN	Nato#jäsenyys
nato:n	NOUN	NATO
naton	PROPN	Nato
natoon	PROPN	Nato
natseihin	NOUN	natsi
natseille	NOUN	natsi
natseja	NOUN	natsi
natsi-ideologiaan	NOUN	natsi#ideologia
natsi-saksa	PROPN	natsi#Saksa
natsi-saksan	PROPN	natsi#Saksa
natsi-saksassa	PROPN	natsi#Saksa
natsien	NOUN	natsi
natsihallintoa	NOUN	natsi#hallinto
natsikorttikin	NOUN	natsi#kortti
natsiksi	NOUN	natsi
natsina	NOUN	natsi
natsipuolueeseen	NOUN	natsi#puolue
natsismiin	NOUN	natsismi
natsismille	NOUN	natsismi
naudan	NOUN	nauta
naudanlihan	NOUN	naudan#liha
nauhaa	NOUN	nauha
nauhat	NOUN	nauha
nauhattomat	ADJ	nauhaton
nauhoilla	NOUN	nauha
nauhoitettiin	VERB	nauhoittaa
nauhoittamia	VERB	nauhoittaa
nauhoittamista	NOUN	nauhoittaminen
nauhoitusten	NOUN	nauhoitus
nauhoja	NOUN	nauha
nauhotusta	NOUN	nauhoitus
naulapyssyn	NOUN	naula#pyssy
naulasin	VERB	naulata
naura	VERB	nauraa
nauraakin	VERB	nauraa
nauraen	VERB	nauraa
naurahteli	VERB	naurahdella
naurahti	VERB	naurahtaa
nauramaan	VERB	nauraa
nauramme	VERB	nauraa
nauranut	VERB	nauraa
naurat	VERB	nauraa
naurata	VERB	naurattaa
nauratakaan	VERB	naurattaa
nauratti	VERB	naurattaa
naureskelette	VERB	naureskella
nauretaan	VERB	nauraa
naurettavan	ADJ	naurettava
naurettavinta	ADJ	naurettava
naurettu	VERB	nauraa
nauroi	VERB	nauraa
nauroivat	VERB	nauraa
naurut	NOUN	nauru
nauta-	NOUN	nauta
nauta-alan	NOUN	nauta#ala
nautaeläinten	NOUN	nauta#eläin
nautaeläintuotantoa	NOUN	nauta#eläin#tuotanto
nautakarjan	NOUN	nauta#karja
nauti	VERB	nauttia
nautin	VERB	nauttia
nautinnollisen	ADJ	nautinnollinen
nautinnollista	ADJ	nautinnollinen
nautinnon	NOUN	nautinto
nautinnosta	NOUN	nautinto
nautintoa	NOUN	nautinto
nautintojen	NOUN	nautinto
nautiskelen	VERB	nautiskella
nautiskelivat	VERB	nautiskella
nautittaviksi	VERB	nauttia
nautittavuuden	NOUN	nautittavuus
nautittiin	VERB	nauttia
nautittu	VERB	nauttia
nautittua	VERB	nauttia
nautittuna	VERB	nauttia
nautti	VERB	nauttia
nauttii	VERB	nauttia
nauttiin	VERB	nauttia
nauttikaa	VERB	nauttia
